id,text
730,10 letters|adjective
672,10 letters|noun
347,11 letters
803,11 letters|noun
738,11 letters|verb
747,12 letters
493,12 letters|noun
602,4 letters|contains <span>b</span>
657,4 letters|verb|contains <span>l</span>
802,5 letters|adjective|contains <span>s</span>
629,5 letters|contains <span>o</span>
639,5 letters|ends with <span>n</span>
155,5 letters|not a noun
666,6 letters|adjective|contains <span>d</span>
488,6 letters|contains <span>o</span>
331,6 letters|ends with <span>y</span>
490,6 letters|verb|starts with <span>p</span>
769,7 letters|adjective|contains <span>i</span>
767,7 letters|contains <span>g</span>
791,7 letters|contains <span>li</span>
775,7 letters|contains <span>m</span>
581,7 letters|contains <span>t</span>
185,7 letters|noun
787,7 letters|noun|contains <span>d</span>
705,7 letters|starts with <span>p</span>
281,7 letters|verb|contains <span>p</span>
737,8 letters|contains <span>n</span>
704,8 letters|contains <span>o</span>
506,8 letters|contains <span>p</span>
499,8 letters|starts with <span>a</span>
650,9 letters|adjective
721,9 letters|contains <span>p</span>
466,9 letters|noun
807,9 letters|starts with <span>m</span>
336,adjective
464,adjective|contains <span>c</span>
579,adjective|contains <span>de</span>
806,adjective|contains <span>es</span>
554,adjective|contains <span>h</span>
593,adjective|contains <span>he</span>
467,adjective|contains <span>ic</span>
516,adjective|contains <span>k</span>
320,adjective|contains <span>l</span>
746,adjective|contains <span>m</span>
743,adjective|contains <span>ra</span>
703,adjective|contains <span>re</span>
661,adjective|contains <span>te</span>
599,adjective|contains <span>ti</span>
412,adjective|contains <span>w</span>
423,adjective|contains <span>x</span>
555,adjective|ends with <span>al</span>
504,adjective|ends with <span>d</span>
410,adjective|ends with <span>l</span>
761,adjective|ends with <span>y</span>
815,adjective|starts with <span>a</span>
736,adjective|starts with <span>c</span>
649,adjective|starts with <span>co</span>
559,adjective|starts with <span>h</span>
228,adjective|starts with <span>l</span>
569,adjective|starts with <span>ma</span>
403,adjective|starts with <span>s</span>
165,adjective|starts with <span>v</span>
377,adjective|starts with <span>w</span>
260,at least 10 letters|adjective
463,at least 10 letters|contains <span>b</span>
762,at least 10 letters|contains <span>u</span>
652,at least 10 letters|starts with <span>t</span>
501,at least 11 letters|adjective
799,at least 11 letters|ends with <span>d</span>
809,at least 11 letters|ends with <span>n</span>
498,at least 11 letters|verb
376,at least 12 letters|verb
197,at least 14 letters
409,at least 4 letters|contains <span>j</span>
561,at least 4 letters|starts with <span>be</span>
477,at least 5 letters|adjective|contains <span>en</span>
206,at least 5 letters|contains <span>it</span>
595,at least 5 letters|starts with <span>f</span>
532,at least 5 letters|starts with <span>le</span>
249,at least 5 letters|starts with <span>w</span>
592,at least 5 letters|verb|contains <span>x</span>
778,at least 6 letters|contains <span>ch</span>
482,at least 6 letters|contains <span>de</span>
492,at least 6 letters|contains <span>f</span>
406,at least 6 letters|contains <span>ll</span>
764,at least 6 letters|contains <span>or</span>
756,at least 6 letters|contains <span>z</span>
582,at least 6 letters|ends with <span>l</span>
181,at least 6 letters|ends with <span>st</span>
572,at least 6 letters|noun|starts with <span>n</span>
163,at least 6 letters|verb
479,at least 6 letters|verb|contains <span>at</span>
731,at least 6 letters|verb|contains <span>li</span>
503,at least 6 letters|verb|contains <span>v</span>
201,at least 6 letters|verb|starts with <span>e</span>
744,at least 7 letters|starts with <span>g</span>
723,at least 7 letters|starts with <span>in</span>
665,at least 8 letters|contains <span>io</span>
622,at least 8 letters|contains <span>it</span>
788,at least 8 letters|contains <span>ra</span>
777,at least 8 letters|starts with <span>l</span>
568,at least 8 letters|verb
755,at least 9 letters|contains <span>co</span>
636,at least 9 letters|contains <span>ma</span>
